Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Supplier Postcode,Supplier type,Contract Number,Project code,Expenditure type,VAT Registration Number,Purchase Invoice Number
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Commercial Sector,PROGRAMME PROJECTS,PRIMARY CARE MANCHESTER LTD,32970826,30043.5,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/2189aedc-e204-5a7c-9572-d331bef3a421,M40 7LH, , , , ,,A1391301
Department of Health,NHS Manchester CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE ELDERLY SERVICES,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,32970872,-208000,,M25 3BL, , , , ,GB654929594,11699
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,BHA FOR EQUALITY,32970880,31955,,M15 4AE, , , , ,,TB1219
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Commercial Sector,PROGRAMME PROJECTS,PRIMARY CARE MANCHESTER LTD,32970943,30043.5,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/54d56c4a-57b3-571b-9a63-287b6e2be627,M40 7LH, , , , ,,A1391307
Department of Health,NHS Manchester CCG,31/07/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,THAMES HEALTH CARE LTD,32972070,-58192.48,,OL16 5NY, , , , ,,THA00AB1106
Department of Health,NHS Manchester CCG,31/07/2020,Rent,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,32972123,229454.64,,M1 5AN, , , , ,GB782562113,60156825
Department of Health,NHS Manchester CCG,31/07/2020,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,32972123,20677.25,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/3b1bb609-01ce-5646-a7ed-917ff385fe1e,M1 5AN, , , , ,GB782562113,60156825
Department of Health,NHS Manchester CCG,31/07/2020,Clinical&Medical-Othe Public Sector,WINTER RESILIENCE,MANCHESTER CITY COUNCIL,32976426,205494.8,,M60 2LA, , , , ,GB149151958,8500603153
Department of Health,NHS Manchester CCG,31/07/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,ABBOTSFORD NURSING HOME,32983060,44800,MATCHED TO PPNOINV11772,M16 8BB, , , , ,,NOINV11772
Department of Health,NHS Manchester CCG,31/07/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,THORNBURY COMMUNITY SERVICES,32998119,26902.52,CHC BLOCK PAYMENT 1ST TO 7TH JUL 2020,BS41 9FH, , , , ,GB676285493,COV19JUL20T
